step,epoch,loss,grad_norm,learning_rate,entropy,mean_token_accuracy,timestamp
5,0.0022849308808408544,2.5768142700195313,0.333984375,2.4999977114227297e-05,2.5533408552408217,0.485258724167943,2026-08-08T10:29:12
10,0.004569861761681709,2.5462127685546876,0.263671875,2.499988414091932e-05,2.435439531505108,0.5106321629136801,2026-08-08T10:30:34
15,0.006854792642522564,2.558747100830078,0.330078125,2.49997196502468e-05,2.5156369507312775,0.49744817838072775,2026-08-08T10:31:53
20,0.009139723523363417,2.6987588882446287,0.37109375,2.4999483643150864e-05,2.676400300860405,0.4854785390198231,2026-08-08T10:33:16
25,0.011424654404204274,2.535309410095215,0.29296875,2.4999176120981815e-05,2.517534101009369,0.4991818442940712,2026-08-08T10:34:39
30,0.013709585285045128,2.2861326217651365,0.310546875,2.4998797085499123e-05,2.345028501749039,0.5297673590481281,2026-08-08T10:35:50
35,0.015994516165885982,2.5272714614868166,0.314453125,2.4998346538871414e-05,2.4533261880278587,0.5157045155763627,2026-08-08T10:37:08
40,0.018279447046726835,2.486100959777832,0.296875,2.4997824483676472e-05,2.415734793245792,0.5265512565150857,2026-08-08T10:38:30
45,0.02056437792756769,2.5000432968139648,0.390625,2.4997230922901198e-05,2.544810581207275,0.5138425283133984,2026-08-08T10:39:42
50,0.022849308808408547,2.8013046264648436,0.3046875,2.499656585994162e-05,2.6615768045187,0.486423210427165,2026-08-08T10:40:54
55,0.0251342396892494,2.546594429016113,0.40625,2.4995829298602853e-05,2.4934960186481474,0.507730421423912,2026-08-08T10:42:02
60,0.027419170570090256,2.491462516784668,0.349609375,2.4995021243099094e-05,2.498172715306282,0.5195652130991221,2026-08-08T10:43:16
65,0.02970410145093111,2.598737907409668,0.296875,2.499414169805358e-05,2.6288493126630783,0.49481075070798397,2026-08-08T10:44:28
70,0.031989032331771965,2.557540702819824,0.390625,2.499319066849859e-05,2.522549143433571,0.511333753913641,2026-08-08T10:45:32
75,0.03427396321261282,2.1921783447265626,0.37890625,2.499216815987537e-05,2.2280103623867036,0.5471293136477471,2026-08-08T10:46:36
80,0.03655889409345367,2.408580780029297,0.4296875,2.4991074178034153e-05,2.451730579137802,0.5143654577434063,2026-08-08T10:47:41
85,0.038843824974294526,2.6430828094482424,0.365234375,2.498990872923409e-05,2.5621013671159742,0.5071555793285369,2026-08-08T10:48:58
90,0.04112875585513538,2.7183446884155273,0.361328125,2.498867182014323e-05,2.5472398906946183,0.5043891599401832,2026-08-08T10:50:13
95,0.04341368673597624,2.484232711791992,0.359375,2.4987363457838475e-05,2.4671285539865493,0.5253030616790056,2026-08-08T10:51:21
100,0.045698617616817094,2.4815347671508787,0.3671875,2.4985983649805545e-05,2.4230632692575456,0.5117505244910717,2026-08-08T10:52:25
105,0.047983548497657943,2.3379560470581056,0.35546875,2.4984532403938935e-05,2.3671712443232535,0.5253293476998806,2026-08-08T10:53:31
110,0.0502684793784988,2.299400520324707,0.341796875,2.498300972854186e-05,2.3786276429891586,0.525603299587965,2026-08-08T10:54:43
115,0.052553410259339656,2.3424352645874023,0.453125,2.4981415632326218e-05,2.4088213801383973,0.5227417282760143,2026-08-08T10:55:47
120,0.05483834114018051,2.3323793411254883,0.357421875,2.4979750124412542e-05,2.3577238857746123,0.524662709236145,2026-08-08T10:57:01
125,0.05712327202102136,2.366570472717285,0.369140625,2.4978013214329943e-05,2.332004101574421,0.5315663114190101,2026-08-08T10:58:17
