step,epoch,loss,grad_norm,learning_rate,entropy,mean_token_accuracy,timestamp
5,0.0022849308808408544,2.576694679260254,0.33984375,2.4999977114227297e-05,2.5528433084487916,0.48536165319383145,2026-08-09T01:11:15
10,0.004569861761681709,2.5458257675170897,0.267578125,2.499988414091932e-05,2.4333238288760186,0.5106351967900992,2026-08-09T01:12:34
15,0.006854792642522564,2.5581769943237305,0.33203125,2.49997196502468e-05,2.5120005026459693,0.497613949328661,2026-08-09T01:13:53
20,0.009139723523363417,2.698232650756836,0.37890625,2.4999483643150864e-05,2.6728712916374207,0.48497956842184065,2026-08-09T01:15:16
